fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,2.733771781917015,0.8923238823522887,0.766967347038737,7.352790222987913, 1.6895298520723978
0,1,1.460672438690826,0.8990007237244488,0.8813469461060288,2.316890636100064, 1.6683277487754822
0,2,1.2404667755579386,0.9054593911752377,0.8875993285245132,1.891606149824238, 1.581771969795227
0,3,1.0002116782802195,0.9011073029027361,0.8909465556892819,1.594458687156506, 1.611553684870402
0,4,0.9247841197523355,0.9079243480897287,0.8948522309099972,1.3467775075345976, 1.5955249746640523
0,5,0.9167240057330655,0.9135828571574159,0.9034709463232785,1.219100444607926, 1.5967708309491475
0,6,0.8250377470017435,0.9121867388922386,0.9090965152714692,1.1269379750804478, 1.6417394399642944
0,7,0.7980111775188041,0.9169327616674527,0.9053008103221696,1.035972816688262, 1.6249977866808574
0,8,0.7381376747543239,0.906738835287719,0.9120661999125669,0.9067928893584679, 1.6181701223055522
0,9,0.6530288774056874,0.905249872272901,0.9146275621827884,0.8718924898427332, 1.5793357849121095
0,10,0.6462297213444372,0.9034872083314787,0.9126681062805215,0.7989002226229811, 1.6184345165888467
0,11,0.6080636774244415,0.9068163557828791,0.9206583505267311,0.7559287422463349, 1.6484894037246705
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,3.4451717695563424,0.7744788292239603,0.6162082718569403,7.920447324662387, 1.6668747663497925
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,3.537672018489743,0.7783029613353698,0.6169843613385793,7.066511437651657, 1.6308214863141377
0,1,1.6102066542335538,0.902735870250549,0.8304884590983731,2.8563747006982445, 1.6609491070111593
0,2,1.4555429831356266,0.908105504007611,0.877163994026294,2.058359153050221, 1.5767598112424215
0,3,0.9291390936556795,0.9183900270800933,0.9009003792543664,1.5657317206334767, 1.5605946818987528
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,2.154128658941624,0.876151698279592,0.7430040614404069,5.9039930246353025, 1.681166648864746
0,1,1.0168284180375737,0.9031699325687842,0.8752641610621522,1.804107794037683, 1.5534531831741334
0,2,0.9444881274349446,0.9077067361825806,0.8831954654412705,1.4494145016009634, 1.6244927724202474
0,3,0.7472523188394286,0.8922791085525226,0.8911518060398141,1.223406618271838, 1.6501573244730632
0,4,0.7001349687307826,0.9132943939905542,0.8951323608401041,1.0633921803614335, 1.6046048164367677
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.5156376108916818,0.9113035897422064,0.8156081564679164,1.519723134641187, 1.674531908830007
0,1,0.2857348704045372,0.9384022295329032,0.8982591893046405,0.5294930360958671, 1.6554041981697083
0,2,0.2717262839147707,0.9430722679851671,0.9180506310576738,0.4325640609067766, 1.6366111874580382
0,3,0.2302189471475704,0.9544620482286136,0.9293428198571748,0.3664529685928489, 1.5852717677752177
0,4,0.21765911890602463,0.9581840061542806,0.9408556947465506,0.31873237898436274, 1.6282025456428528
0,5,0.21222605614813653,0.9609991353973194,0.949963380728467,0.2773274488816019, 1.6221323013305664
0,6,0.20486816045429027,0.962430735493776,0.9491137403237156,0.2656475360919864, 1.5895835598309835
0,7,0.18548927551411015,0.9638384312519473,0.9521609410319771,0.24430289523332335, 1.5773460308710734
0,8,0.1886723962468713,0.9643904041541692,0.963467070311667,0.21637952140434233, 1.5981833934783936
0,9,0.18434342500939016,0.9686903749743908,0.9602570821138016,0.2190318299601168, 1.6010510365168253
